iter	Passed	Remaining
413	3504	4960
414	3513	4952
415	3522	4944
416	3531	4936
417	3540	4929
418	3548	4920
419	3558	4913
420	3567	4906
421	3576	4899
422	3586	4892
423	3594	4883
424	3604	4876
425	3613	4869
426	3622	4860
427	3629	4850
428	3640	4845
429	3649	4838
430	3659	4830
431	3667	4822
432	3676	4814
433	3685	4806
434	3694	4798
435	3702	4790
436	3712	4782
437	3719	4772
438	3728	4764
439	3737	4757
440	3747	4749
441	3755	4741
442	3764	4733
443	3773	4725
444	3782	4717
445	3791	4709
446	3800	4701
447	3809	4694
448	3818	4686
449	3828	4679
450	3838	4672
451	3847	4664
452	3856	4657
453	3865	4648
454	3874	4640
455	3883	4632
456	3892	4625
457	3901	4617
458	3910	4609
459	3920	4601
460	3928	4593
461	3937	4585
462	3946	4576
463	3955	4569
464	3965	4562
465	3974	4554
466	3983	4546
467	3991	4537
468	4000	4529
469	4009	4521
470	4019	4514
471	4028	4506
472	4037	4498
473	4046	4490
474	4053	4480
475	4062	4471
476	4071	4464
477	4079	4455
478	4089	4448
479	4098	4440
480	4107	4432
481	4117	4424
482	4127	4418
483	4137	4411
484	4150	4407
485	4162	4402
486	4175	4398
487	4184	4390
488	4197	4386
489	4206	4378
490	4216	4371
491	4226	4363
492	4233	4354
493	4242	4345
494	4251	4337
495	4260	4328
496	4268	4319
497	4277	4311
498	4285	4303
499	4294	4294
500	4301	4284
501	4308	4273
502	4317	4265
503	4327	4258
504	4336	4250
505	4343	4240
506	4353	4232
507	4361	4224
508	4371	4216
509	4380	4208
510	4389	4200
511	4398	4192
512	4407	4184
513	4416	4176
514	4426	4169
515	4435	4160
516	4445	4152
517	4454	4145
518	4463	4137
519	4473	4129
520	4482	4121
521	4492	4114
522	4501	4105
523	4510	4097
524	4519	4089
525	4529	4081
526	4538	4073
527	4547	4064
528	4555	4056
529	4564	4047
530	4573	4039
531	4582	4031
532	4592	4023
533	4601	4015
534	4610	4007
535	4619	3998
536	4628	3990
537	4637	3982
538	4646	3974
539	4655	3965
540	4664	3957
541	4674	3950
542	4681	3940
543	4691	3932
544	4701	3924
545	4709	3916
546	4719	3908
547	4728	3900
548	4737	3892
549	4744	3881
550	4753	3873
551	4763	3865
552	4772	3857
553	4781	3849
554	4790	3841
555	4800	3833
556	4808	3824
557	4817	3816
558	4827	3808
559	4837	3800
560	4846	3792
561	4856	3784
562	4864	3776
563	4874	3768
564	4882	3758
565	4892	3751
566	4900	3742
567	4908	3732
568	4917	3724
569	4926	3716
570	4936	3709
571	4946	3701
572	4955	3692
573	4965	3685
574	4974	3677
575	4984	3668
576	4993	3660
577	5003	3653
578	5011	3644
579	5021	3636
580	5030	3627
581	5039	3619
582	5048	3611
583	5057	3602
584	5066	3594
585	5075	3585
586	5084	3577
587	5093	3568
588	5102	3560
589	5111	3551
590	5121	3543
591	5130	3535
592	5138	3526
593	5147	3518
594	5157	3510
595	5166	3502
596	5176	3494
597	5186	3486
598	5195	3478
599	5206	3470
600	5216	3463
601	5225	3454
602	5236	3447
603	5245	3438
604	5254	3430
605	5263	3422
606	5273	3414
607	5282	3405
608	5290	3397
609	5300	3388
610	5309	3380
611	5319	3372
612	5328	3363
613	5337	3355
614	5346	3346
615	5355	3338
616	5365	3330
617	5374	3322
618	5383	3313
619	5392	3304
620	5402	3296
621	5410	3287
622	5420	3280
623	5429	3271
624	5439	3263
625	5448	3255
626	5457	3246
627	5467	3238
628	5476	3230
629	5485	3221
630	5494	3212
631	5502	3203
632	5512	3195
633	5521	3187
634	5528	3177
635	5538	3170
636	5549	3162
637	5558	3154
638	5567	3145
639	5576	3136
640	5584	3127
641	5592	3118
642	5602	3110
643	5611	3101
644	5619	3092
645	5628	3084
646	5637	3075
647	5646	3067
648	5655	3058
649	5664	3050
650	5672	3041
651	5681	3032
652	5690	3024
653	5700	3015
654	5709	3007
655	5718	2998
656	5727	2990
657	5735	2981
658	5744	2972
659	5753	2963
660	5762	2955
661	5771	2946
662	5780	2938
663	5790	2930
664	5798	2921
665	5807	2912
666	5817	2904
667	5826	2895
668	5835	2887
669	5843	2878
670	5852	2869
671	5860	2860
672	5870	2852
673	5880	2844
674	5889	2835
675	5897	2826
676	5907	2818
677	5916	2810
678	5924	2800
679	5933	2792
680	5942	2783
681	5952	2775
682	5961	2766
683	5970	2758
684	5980	2750
685	5989	2741
686	5998	2732
687	6007	2724
688	6017	2715
689	6026	2707
690	6035	2699
691	6045	2690
692	6054	2682
693	6064	2673
694	6073	2665
695	6083	2657
696	6092	2648
697	6101	2639
698	6110	2631
699	6119	2622
700	6128	2614
701	6138	2605
702	6147	2597
703	6157	2588
704	6166	2580
705	6177	2572
706	6186	2563
707	6197	2555
708	6208	2548
709	6220	2540
710	6230	2532
711	6241	2524
712	6253	2517
713	6266	2509
714	6278	2502
715	6288	2494
716	6298	2486
717	6306	2476
718	6316	2468
719	6325	2459
720	6334	2451
721	6344	2443
722	6355	2434
723	6364	2426
724	6373	2417
725	6382	2408
726	6395	2401
727	6404	2392
728	6414	2384
729	6423	2375
730	6433	2367
731	6442	2358
732	6451	2349
733	6460	2341
734	6470	2332
735	6480	2324
736	6492	2316
737	6501	2308
738	6510	2299
739	6520	2290
740	6530	2282
741	6538	2273
742	6547	2264
743	6557	2256
744	6566	2247
745	6575	2238
746	6585	2230
747	6594	2221
748	6603	2212
749	6612	2204
750	6621	2195
751	6630	2186
752	6640	2178
753	6648	2169
754	6658	2160
755	6667	2152
756	6676	2143
757	6685	2134
758	6694	2125
759	6705	2117
760	6713	2108
761	6723	2100
762	6733	2091
763	6743	2083
764	6753	2074
765	6766	2066
766	6778	2059
767	6788	2050
768	6797	2041
769	6808	2033
770	6820	2025
771	6832	2017
772	6846	2010
773	6856	2002
774	6869	1994
775	6879	1985
776	6886	1976
777	6896	1967
778	6906	1959
779	6915	1950
780	6924	1941
781	6933	1932
782	6942	1924
783	6951	1915
784	6960	1906
785	6968	1897
786	6977	1888
787	6986	1879
788	6995	1870
789	7002	1861
790	7011	1852
791	7020	1843
792	7029	1835
793	7039	1826
794	7048	1817
795	7059	1809
796	7068	1800
797	7077	1791
798	7085	1782
799	7096	1774
800	7105	1765
801	7114	1756
802	7124	1747
803	7132	1738
804	7142	1730
805	7153	1721
806	7162	1713
807	7172	1704
808	7181	1695
809	7190	1686
810	7199	1677
811	7209	1669
812	7218	1660
813	7226	1651
814	7235	1642
815	7245	1633
816	7255	1625
817	7265	1616
818	7274	1607
819	7283	1598
820	7292	1590
821	7301	1581
822	7311	1572
823	7320	1563
824	7329	1554
825	7338	1545
826	7348	1537
827	7357	1528
828	7364	1519
829	7374	1510
830	7383	1501
831	7392	1492
832	7402	1484
833	7411	1475
834	7420	1466
835	7429	1457
836	7438	1448
837	7448	1439
838	7457	1431
839	7466	1422
840	7476	1413
841	7484	1404
842	7493	1395
843	7503	1386
844	7512	1377
845	7520	1369
846	7530	1360
847	7540	1351
848	7549	1342
849	7558	1333
850	7567	1325
851	7575	1315
852	7584	1307
853	7594	1298
854	7604	1289
855	7613	1280
856	7623	1271
857	7632	1263
858	7641	1254
859	7650	1245
860	7659	1236
861	7669	1227
862	7680	1219
863	7689	1210
864	7700	1201
865	7710	1193
866	7720	1184
867	7730	1175
868	7739	1166
869	7748	1157
870	7756	1148
871	7766	1140
872	7776	1131
873	7785	1122
874	7794	1113
875	7804	1104
876	7815	1096
877	7825	1087
878	7834	1078
879	7845	1069
880	7854	1060
881	7864	1052
882	7874	1043
883	7883	1034
884	7892	1025
885	7901	1016
886	7911	1007
887	7920	999
888	7930	990
889	7942	981
890	7950	972
891	7960	963
892	7969	954
893	7977	945
894	7986	936
895	7996	928
896	8005	919
897	8013	910
898	8022	901
899	8031	892
900	8040	883
901	8049	874
902	8059	865
903	8069	856
904	8078	848
905	8089	839
906	8098	830
907	8108	821
908	8117	812
909	8126	803
910	8136	794
911	8145	786
912	8154	777
913	8164	768
914	8173	759
915	8183	750
916	8192	741
917	8200	732
918	8207	723
919	8217	714
920	8226	705
921	8235	696
922	8245	687
923	8254	678
924	8264	670
925	8274	661
926	8285	652
927	8295	643
928	8305	634
929	8315	625
930	8324	616
931	8332	607
932	8343	599
933	8352	590
934	8363	581
935	8372	572
936	8382	563
937	8393	554
938	8401	545
939	8412	536
940	8422	528
941	8432	519
942	8441	510
943	8450	501
944	8460	492
945	8469	483
946	8480	474
947	8490	465
948	8500	456
949	8510	447
950	8519	438
951	8530	430
952	8539	421
953	8548	412
954	8558	403
955	8567	394
956	8577	385
957	8586	376
958	8595	367
959	8604	358
960	8613	349
961	8622	340
962	8631	331
963	8640	322
964	8650	313
965	8659	304
966	8667	295
967	8677	286
968	8685	277
969	8694	268
970	8703	259
971	8713	251
972	8722	242
973	8729	233
974	8738	224
975	8747	215
976	8756	206
977	8766	197
978	8775	188
979	8785	179
980	8794	170
981	8803	161
982	8811	152
983	8820	143
984	8828	134
985	8838	125
986	8845	116
987	8855	107
988	8867	98
989	8879	89
990	8888	80
991	8898	71
992	8907	62
993	8917	53
994	8926	44
995	8937	35
996	8946	26
997	8955	17
998	8964	8
999	8974	0
