iter	Passed	Remaining
411	3679	5251
412	3690	5245
413	3699	5236
414	3708	5227
415	3716	5218
416	3725	5208
417	3734	5200
418	3743	5190
419	3753	5183
420	3762	5174
421	3771	5166
422	3781	5158
423	3790	5149
424	3800	5141
425	3809	5132
426	3817	5122
427	3825	5112
428	3836	5106
429	3847	5100
430	3857	5092
431	3866	5083
432	3875	5074
433	3884	5066
434	3894	5058
435	3903	5049
436	3912	5040
437	3920	5029
438	3928	5020
439	3938	5012
440	3948	5004
441	3956	4995
442	3966	4987
443	3976	4979
444	3984	4969
445	3993	4961
446	4003	4952
447	4012	4944
448	4022	4936
449	4031	4927
450	4041	4919
451	4050	4911
452	4061	4903
453	4070	4895
454	4080	4888
455	4090	4879
456	4099	4871
457	4108	4862
458	4118	4854
459	4128	4846
460	4137	4837
461	4146	4829
462	4155	4819
463	4165	4812
464	4175	4803
465	4186	4797
466	4194	4787
467	4204	4779
468	4213	4770
469	4222	4761
470	4232	4753
471	4240	4744
472	4249	4735
473	4259	4726
474	4267	4716
475	4276	4707
476	4286	4699
477	4295	4690
478	4304	4681
479	4313	4673
480	4322	4664
481	4333	4656
482	4342	4648
483	4351	4639
484	4360	4630
485	4369	4621
486	4379	4613
487	4388	4604
488	4397	4595
489	4407	4587
490	4416	4578
491	4425	4569
492	4433	4559
493	4441	4549
494	4450	4540
495	4459	4531
496	4467	4521
497	4476	4512
498	4485	4503
499	4493	4493
500	4500	4482
501	4507	4471
502	4516	4462
503	4526	4454
504	4536	4446
505	4543	4435
506	4552	4426
507	4561	4417
508	4571	4409
509	4580	4400
510	4589	4392
511	4599	4383
512	4608	4375
513	4619	4367
514	4628	4358
515	4637	4350
516	4647	4342
517	4657	4333
518	4666	4325
519	4676	4317
520	4686	4308
521	4695	4299
522	4704	4290
523	4713	4281
524	4722	4272
525	4731	4264
526	4741	4255
527	4750	4246
528	4759	4237
529	4768	4228
530	4777	4219
531	4786	4210
532	4795	4202
533	4805	4193
534	4814	4184
535	4825	4176
536	4834	4168
537	4844	4160
538	4854	4152
539	4864	4143
540	4875	4136
541	4886	4128
542	4894	4118
543	4903	4110
544	4914	4102
545	4923	4093
546	4932	4085
547	4941	4076
548	4952	4068
549	4960	4058
550	4969	4049
551	4980	4041
552	4990	4033
553	4999	4024
554	5010	4017
555	5021	4010
556	5029	4000
557	5040	3992
558	5054	3987
559	5065	3980
560	5080	3975
561	5092	3968
562	5104	3962
563	5115	3954
564	5125	3946
565	5135	3938
566	5144	3928
567	5152	3918
568	5161	3909
569	5172	3901
570	5181	3892
571	5192	3884
572	5201	3876
573	5210	3866
574	5221	3859
575	5230	3850
576	5240	3841
577	5250	3833
578	5258	3823
579	5268	3815
580	5277	3805
581	5286	3797
582	5296	3788
583	5305	3779
584	5315	3770
585	5324	3761
586	5335	3753
587	5344	3744
588	5353	3735
589	5362	3726
590	5371	3717
591	5382	3709
592	5390	3699
593	5399	3690
594	5409	3682
595	5418	3673
596	5428	3664
597	5436	3654
598	5445	3645
599	5455	3636
600	5465	3628
601	5474	3619
602	5485	3611
603	5494	3602
604	5503	3593
605	5515	3585
606	5525	3577
607	5534	3568
608	5542	3558
609	5551	3549
610	5559	3539
611	5569	3530
612	5577	3521
613	5586	3512
614	5595	3503
615	5605	3494
616	5615	3485
617	5627	3478
618	5641	3472
619	5652	3464
620	5665	3457
621	5673	3448
622	5683	3439
623	5693	3430
624	5703	3421
625	5711	3412
626	5720	3403
627	5730	3394
628	5739	3385
629	5748	3376
630	5757	3367
631	5765	3357
